b,g,r,pele
128,167,219,1
103,138,201,1
92,28,17,2
87,86,30,2
119,160,222,1
146,157,215,1
152,193,255,1
172,171,121,2
106,143,201,1
254,134,98,2
160,163,124,2
168,183,232,1
129,132,87,2
228,157,90,2
143,83,101,2
115,159,223,1
24,23,3,2
179,176,132,2
81,89,129,1
130,162,215,1
110,122,234,2
172,171,121,2
9,8,0,2
179,176,131,2
199,197,163,2
20,17,2,2
202,212,252,1
136,139,90,2
105,151,222,1
67,126,188,1
164,163,113,2
93,92,36,2
59,63,22,2
151,189,253,1
124,125,83,2
170,171,127,2
202,212,252,1
152,190,254,1
178,175,131,2
198,196,156,2
62,63,21,2
136,155,16,2
59,97,151,1
189,187,146,2
167,184,233,1
129,168,220,1
144,181,233,1
71,77,122,1
172,171,121,2
0,1,1,2
169,187,228,1
134,164,229,1
103,152,220,1
146,183,233,1
163,165,119,2
146,187,249,1
173,173,127,2
132,165,221,1
142,142,78,2
46,92,140,1
182,180,132,2
157,194,254,1
178,178,132,2
126,158,224,1
154,157,112,2
0,0,4,2
64,69,24,2
153,159,124,2
0,126,97,2
143,188,249,1
70,87,130,1
46,95,151,1
102,104,58,2
176,176,130,2
199,198,160,2
168,183,232,1
157,176,221,1
0,147,253,2
61,63,21,2
150,163,231,1
53,94,143,1
175,189,237,1
55,56,22,2
84,88,36,2
132,170,234,1
132,135,86,2
164,162,114,2
72,71,27,2
154,158,122,2
135,175,234,1
90,56,217,2
51,112,178,1
163,186,242,1
201,200,162,2
134,161,228,1
147,168,230,1
182,179,134,2
167,167,131,2
136,139,90,2
69,71,25,2
153,157,121,2
216,122,157,2
76,75,54,2
180,177,132,2
170,169,118,2
92,98,151,1
157,158,116,2
74,82,122,1
159,164,125,2
200,196,155,2
165,165,117,2
178,175,131,2
81,113,188,1
166,181,230,1
152,190,254,1
137,140,195,1
148,163,226,1
103,143,201,1
16,12,1,2
117,152,220,1
60,121,183,1
109,158,226,1
170,186,232,1
123,160,216,1
126,166,215,1
184,179,188,2
214,222,255,1
160,162,126,2
163,164,114,2
32,33,7,2
148,185,253,1
196,194,164,2
138,141,92,2
150,173,118,2
180,177,132,2
121,120,62,2
54,53,27,2
47,58,20,2
205,203,172,2
124,164,216,1
91,93,147,1
82,91,129,1
195,194,150,2
142,165,227,1
37,0,148,2
179,176,131,2
60,64,23,2
116,122,175,1
76,77,61,2
48,102,157,1
45,95,147,1
154,155,105,2
5,3,2,2
62,63,19,2
133,134,94,2
47,18,198,2
46,95,141,1
189,204,253,1
54,101,153,1
37,64,25,2
52,45,6,2
124,166,41,2
43,96,153,1
144,164,229,1
73,73,27,2
117,152,220,1
168,163,114,2
81,90,133,1
108,148,213,1
40,91,153,1
179,176,131,2
149,154,109,2
140,141,85,2
149,151,99,2
178,175,131,2
63,117,180,1
147,168,22,2
60,123,191,1
63,63,23,2
54,55,21,2
69,71,25,2
120,119,59,2
179,179,133,2
154,195,255,1
144,180,228,1
73,76,31,2
51,106,151,1
152,190,254,1
147,169,234,1
97,143,220,1
138,139,89,2
118,155,215,1
255,139,97,2
53,76,138,1
144,142,88,2
129,163,217,1
129,141,147,2
62,63,21,2
153,155,113,2
180,179,135,2
47,107,161,1
129,163,223,1
119,122,177,1
142,145,99,2
129,159,224,1
101,149,221,1
156,117,219,2
184,183,139,2
101,153,223,1
178,194,236,1
150,183,222,1
182,179,135,2
47,91,138,1
201,151,205,2
97,94,73,2
171,173,131,2
158,160,118,2
68,122,187,1
52,56,21,2
99,91,156,2
171,185,237,1
173,172,122,2
76,95,146,1
81,118,186,1
129,129,129,2
108,157,225,1
121,151,216,1
66,68,22,2
140,139,89,2
170,185,234,1
137,176,245,1
61,122,188,1
184,181,136,2
115,223,247,2
53,93,142,1
143,142,198,1
54,81,215,2
192,192,152,2
116,146,217,1
92,130,188,1
66,125,187,1
113,150,218,1
146,110,16,2
111,114,65,2
76,87,137,1
55,111,170,1
174,170,121,2
177,174,129,2
170,167,116,2
173,184,242,1
116,140,194,1
148,186,251,1
148,189,251,1
165,161,112,2
129,131,89,2
137,169,222,1
42,46,11,2
107,106,48,2
159,164,132,2
112,115,65,2
77,85,125,1
181,178,134,2
158,162,126,2
186,182,129,2
48,98,156,1
182,179,135,2
54,55,21,2
159,160,120,2
61,114,171,1
43,8,212,2
80,87,126,1
116,155,224,1
181,182,143,2
122,161,213,1
255,252,181,2
180,179,135,2
126,132,91,2
129,168,220,1
111,154,217,1
132,172,220,1
66,106,158,1
173,187,240,1
60,64,23,2
54,81,215,2
153,189,253,1
204,202,167,2
13,11,11,2
176,188,242,1
147,169,227,1
196,196,160,2
171,167,119,2
59,58,14,2
55,104,150,1
112,111,53,2
125,74,164,2
10,11,15,2
133,136,90,2
68,128,188,1
55,56,12,2
186,177,133,2
101,143,212,1
148,187,249,1
138,140,88,2
74,76,40,2
121,153,212,1
52,92,141,1
53,53,17,2
2,0,0,2
165,160,161,2
33,32,4,2
162,160,112,2
199,197,162,2
168,188,236,1
56,81,215,2
129,162,218,1
154,158,123,2
97,100,51,2
97,137,202,1
62,108,172,1
102,150,222,1
133,180,234,1
33,17,159,2
106,106,52,2
125,127,181,1
173,172,122,2
2,2,2,2
163,159,111,2
55,105,158,1
32,61,52,2
121,135,193,1
205,213,253,1
146,144,90,2
98,135,185,1
111,108,63,2
139,139,85,2
82,84,32,2
121,126,181,1
95,139,216,1
144,147,98,2
8,8,2,2
143,168,232,1
148,192,255,1
131,134,88,2
58,117,179,1
153,170,221,1
160,162,126,2
164,164,118,2
179,176,131,2
43,51,182,2
179,179,133,2
104,154,220,1
196,196,156,2
0,2,0,2
159,162,123,2
54,105,168,1
60,116,175,1
41,42,10,2
53,117,181,1
176,174,126,2
183,167,255,2
8,6,0,2
198,198,158,2
4,246,255,2
29,30,14,2
60,115,172,1
36,87,150,1
61,115,170,1
61,63,21,2
151,154,105,2
48,102,157,1
133,172,217,1
158,187,231,1
43,87,134,1
163,174,231,1
97,98,56,2
191,192,150,2
1,2,0,2
132,9,129,2
140,184,248,1
178,178,132,2
52,103,166,1
124,168,222,1
94,141,222,1
162,165,119,2
118,152,222,1
198,198,158,2
30,52,34,2
102,98,45,2
180,177,132,2
39,42,40,2
85,83,29,2
182,179,134,2
81,113,186,1
150,155,110,2
96,94,40,2
15,13,3,2
144,140,92,2
123,162,214,1
35,34,8,2
137,176,228,1
76,74,39,2
202,211,254,1
164,179,228,1
169,167,113,2
161,164,125,2
41,108,255,2
172,170,122,2
1,3,4,2
97,146,222,1
22,97,76,2
132,161,228,1
119,118,60,2
164,163,113,2
74,77,31,2
172,170,122,2
120,157,217,1
151,154,199,2
107,141,200,1
208,216,255,1
147,146,95,2
54,104,150,1
47,67,122,1
150,153,107,2
178,175,131,2
79,85,130,1
69,69,21,2
178,175,130,2
157,168,226,1
151,193,255,1
170,169,119,2
132,131,87,2
52,29,175,2
38,45,30,2
143,164,232,1
151,189,254,1
216,216,198,2
119,150,219,1
69,71,25,2
55,96,145,1
85,132,200,1
100,149,219,1
69,127,192,1
162,181,232,1
101,148,222,1
55,110,171,1
50,52,16,2
130,169,221,1
126,154,214,1
205,213,250,1
137,138,88,2
213,103,109,2
89,103,151,1
175,175,121,2
148,186,251,1
195,193,152,2
181,182,140,2
178,175,130,2
120,145,171,1
10,18,8,2
54,55,21,2
201,200,162,2
123,155,220,1
170,169,119,2
145,161,227,1
49,53,17,2
52,90,138,1
164,162,114,2
188,187,143,2
76,110,176,1
158,161,122,2
172,171,121,2
202,211,255,1
71,121,179,1
139,138,80,2
52,104,164,1
18,15,0,2
148,190,249,1
32,34,5,2
107,109,63,2
178,178,132,2
91,135,219,1
153,156,110,2
177,196,233,1
33,94,66,2
156,160,125,2
181,178,134,2
129,161,227,1
118,153,216,1
161,165,130,2
182,180,132,2
182,178,129,2
85,53,212,2
147,183,231,1
157,177,218,1
148,186,250,1
150,188,252,1
170,167,123,2
81,139,205,1
143,145,93,2
129,164,220,1
39,89,141,1
238,198,163,2
133,167,213,1
14,12,1,2
79,87,127,1
176,145,100,2
115,114,86,2
24,73,51,2
119,118,60,2
52,54,18,2
144,184,249,1
96,92,151,2
113,153,211,1
95,166,39,2
0,255,255,2
62,62,22,2
194,193,155,2
181,178,134,2
156,159,114,2
104,107,57,2
141,138,100,2
2,1,3,2
130,167,217,1
167,163,115,2
201,200,162,2
56,61,22,2
131,137,190,1
121,155,225,1
162,161,117,2
60,119,181,1
22,16,3,2
182,178,137,2
164,163,113,2
58,99,148,1
165,163,115,2
162,160,106,2
144,182,247,1
76,82,129,1
198,198,158,2
45,94,150,1
138,141,92,2
180,179,135,2
140,162,227,1
173,168,129,2
64,80,139,1
53,105,165,1
85,83,29,2
10,9,0,2
100,140,199,1
65,60,62,2
134,178,242,1
197,195,160,2
95,77,60,2
34,33,7,2
57,103,167,1
164,163,113,2
113,116,171,1
11,10,6,2
65,111,159,1
172,188,235,1
197,196,158,2
182,182,134,2
171,175,126,2
184,181,137,2
168,182,235,1
171,185,233,1
97,103,156,1
201,211,251,1
116,160,224,1
236,193,160,2
137,175,223,1
96,89,150,2
176,180,131,2
148,151,102,2
196,197,155,2
13,10,6,2
181,168,130,2
156,154,100,2
128,169,224,1
184,181,136,2
139,180,225,1
49,14,235,2
131,172,221,1
118,122,80,2
149,187,251,1
164,163,113,2
112,156,127,2
45,89,142,1
196,195,157,2
111,110,52,2
70,114,168,1
136,137,98,2
178,175,131,2
60,121,187,1
172,186,239,1
120,156,210,1
84,84,30,2
132,165,215,1
37,37,37,2
135,169,223,1
145,142,91,2
199,197,162,2
151,174,236,1
110,154,207,1
143,167,227,1
120,155,105,2
54,58,29,2
58,116,175,1
53,114,180,1
180,178,130,2
98,101,52,2
143,145,93,2
67,81,129,1
146,185,253,1
48,94,142,1
32,33,7,2
115,86,71,2
51,52,18,2
143,165,230,1
59,108,76,2
156,164,224,1
51,53,7,2
157,161,125,2
179,177,129,2
50,50,14,2
115,121,174,1
45,101,150,1
112,150,208,1
126,164,218,1
156,155,129,2
45,87,134,1
5,3,2,2
178,175,131,2
54,54,38,2
143,181,229,1
7,8,4,2
234,171,120,2
49,73,127,1
197,195,161,2
55,26,235,2
135,133,79,2
144,147,98,2
199,210,254,1
141,138,194,1
71,115,178,1
67,62,31,2
155,195,254,1
211,219,255,1
165,164,114,2
154,157,118,2
165,163,115,2
88,142,213,1
8,6,0,2
47,45,44,2
107,144,202,1
140,180,245,1
135,147,211,1
146,165,232,1
171,187,240,1
211,220,255,1
45,99,159,1
149,174,238,1
133,163,228,1
91,138,219,1
163,161,113,2
144,169,233,1
71,73,27,2
179,176,132,2
174,172,124,2
181,178,134,2
142,141,85,2
205,204,170,2
97,145,223,1
196,194,159,2
76,78,32,2
171,168,117,2
112,151,213,1
30,74,57,2
53,95,142,1
180,177,132,2
72,87,126,1
54,55,15,2
194,194,154,2
60,124,189,1
92,96,149,1
37,35,34,2
171,170,119,2
128,132,90,2
110,148,220,1
76,45,254,2
146,179,229,1
174,172,124,2
155,158,102,2
82,93,131,1
189,186,148,2
63,124,190,1
181,181,135,2
41,82,131,1
167,181,230,1
179,183,134,2
100,106,159,1
56,117,181,1
107,146,208,1
171,170,119,2
91,90,40,2
128,166,214,1
36,37,17,2
21,18,4,2
90,182,235,2
101,150,224,1
152,190,254,1
162,173,110,2
228,225,250,2
147,186,254,1
173,172,128,2
60,64,23,2
89,112,150,1
197,123,67,2
38,38,2,2
169,174,235,1
176,175,124,2
40,41,7,2
205,204,170,2
98,138,196,1
179,180,138,2
176,190,239,1
136,140,88,2
51,51,51,2
182,181,137,2
186,187,145,2
170,184,237,1
182,180,132,2
117,160,211,1
148,173,237,1
59,100,145,1
51,56,17,2
33,33,3,2
134,166,219,1
105,129,187,1
68,125,186,1
89,93,146,1
253,251,187,2
234,219,216,2
160,157,106,2
175,191,234,1
137,139,87,2
116,154,212,1
44,100,155,1
35,34,8,2
51,105,152,1
176,174,126,2
6,7,3,2
101,160,230,1
82,117,183,1
28,21,226,2
111,129,194,1
58,114,173,1
83,92,130,1
180,180,134,2
82,92,132,1
176,173,129,2
48,105,150,1
154,189,222,1
96,30,11,2
110,153,210,1
0,1,2,2
181,181,135,2
114,115,65,2
122,154,213,1
174,172,124,2
64,71,26,2
126,154,208,1
46,102,157,1
205,204,170,2
231,205,199,2
173,187,240,1
130,142,146,2
129,133,92,2
82,88,129,1
101,100,56,2
154,158,122,2
54,105,167,1
0,114,254,2
30,30,24,2
157,178,239,1
219,148,80,2
136,138,92,2
61,120,176,1
175,172,128,2
205,204,170,2
124,126,180,1
163,162,111,2
197,196,158,2
201,200,162,2
177,174,129,2
150,188,252,1
199,198,160,2
58,56,45,2
150,165,228,1
57,117,176,1
3,9,162,2
149,151,99,2
177,193,240,1
184,179,130,2
127,102,86,2
195,193,152,2
26,64,46,2
181,179,138,2
82,91,129,1
11,13,0,2
173,172,122,2
197,199,207,2
179,177,129,2
109,146,214,1
85,120,193,1
55,52,8,2
159,158,102,2
123,160,212,1
187,183,135,2
182,179,135,2
158,156,115,2
56,117,181,1
188,189,147,2
80,92,132,1
106,141,207,1
152,155,110,2
157,166,230,1
48,92,139,1
113,146,215,1
171,187,240,1
102,149,223,1
164,162,114,2
130,166,230,1
198,194,159,2
129,169,218,1
143,168,230,1
6,5,7,2
85,85,45,2
137,182,249,1
34,1,140,2
53,90,140,1
95,147,223,1
75,78,32,2
55,109,172,1
55,93,141,1
158,158,112,2
33,35,6,2
52,106,153,1
33,95,77,2
160,163,124,2
201,200,162,2
162,169,232,1
140,184,247,1
90,88,34,2
120,125,70,2
179,176,131,2
123,155,220,1
161,164,119,2
121,154,217,1
83,77,40,2
59,58,14,2
60,58,18,2
169,86,148,2
144,184,249,1
102,150,222,1
142,163,231,1
177,177,131,2
77,53,209,2
164,162,114,2
132,176,240,1
127,161,214,1
9,255,255,2
176,174,126,2
125,170,221,1
124,161,223,1
59,15,230,2
76,76,28,2
43,98,155,1
0,255,255,2
69,73,32,2
146,188,255,1
138,142,93,2
103,151,223,1
12,15,0,2
164,191,235,1
164,164,116,2
162,160,112,2
166,167,117,2
178,176,128,2
49,95,159,1
122,125,180,1
165,161,112,2
203,214,255,1
5,3,3,2
76,116,191,1
128,171,220,1
172,171,121,2
178,175,131,2
187,185,144,2
140,139,81,2
7,4,0,2
168,180,228,1
50,103,160,1
0,181,0,2
181,178,134,2
52,55,23,2
74,20,3,2
145,143,89,2
57,110,167,1
135,162,229,1
177,174,129,2
42,95,152,1
101,150,226,1
182,183,141,2
141,176,232,1
0,1,1,2
15,14,0,2
151,190,252,1
19,41,36,2
165,164,114,2
53,57,22,2
197,196,158,2
166,181,230,1
0,0,0,2
96,110,162,1
119,157,222,1
164,163,113,2
222,222,222,2
152,191,253,1
59,111,164,1
169,183,231,1
79,87,127,1
175,174,130,2
62,117,174,1
101,148,222,1
255,128,0,2
149,187,255,1
200,198,163,2
58,120,184,1
99,146,220,1
179,176,131,2
138,172,225,1
50,99,161,1
1,1,1,2
107,110,165,1
143,103,31,2
52,79,213,2
171,170,120,2
85,98,136,1
63,65,23,2
66,67,23,2
228,224,230,2
177,178,138,2
82,91,129,1
204,205,166,2
10,3,170,2
93,135,200,1
169,182,226,1
134,176,241,1
124,156,221,1
88,86,32,2
114,145,200,1
44,46,34,2
57,110,173,1
173,173,127,2
181,178,134,2
35,0,140,2
157,164,131,2
163,165,129,2
1,6,0,2
0,1,0,2
143,144,94,2
183,182,138,2
77,94,145,1
58,103,154,1
163,165,129,2
98,98,44,2
116,117,67,2
170,186,228,1
134,134,134,2
198,198,158,2
100,137,193,1
154,158,123,2
34,91,58,2
19,9,2,2
115,117,171,1
116,128,186,1
121,151,222,1
94,94,40,2
143,162,229,1
150,188,253,1
138,140,194,1
48,105,157,1
232,218,88,2
135,179,243,1
178,186,245,1
54,51,244,2
177,194,237,1
139,138,87,2
122,121,63,2
102,151,225,1
17,14,0,2
157,160,115,2
184,183,139,2
117,158,23,2
76,79,30,2
92,50,67,2
141,185,248,1
92,87,149,2
92,129,73,2
160,163,124,2
127,129,87,2
32,100,77,2
204,203,169,2
141,181,246,1
175,175,129,2
162,160,120,2
124,158,224,1
21,17,6,2
87,184,240,2
126,160,214,1
179,177,129,2
96,145,219,1
20,17,13,2
66,67,23,2
98,145,219,1
163,179,226,1
54,115,181,1
110,109,53,2
17,18,8,2
81,87,128,1
15,14,0,2
91,133,210,1
124,164,217,1
128,255,0,2
141,144,99,2
148,159,227,1
62,122,192,1
137,173,221,1
76,89,127,1
183,186,141,2
164,163,113,2
85,84,34,2
98,145,219,1
139,178,247,1
95,99,150,1
93,92,41,2
13,11,10,2
114,152,216,1
79,94,143,1
201,213,255,1
180,178,130,2
164,178,227,1
238,195,178,2
172,188,231,1
101,100,42,2
54,54,18,2
255,128,0,2
82,92,132,1
154,168,234,1
176,176,130,2
168,186,239,1
1,248,255,2
162,159,108,2
126,162,216,1
159,169,229,1
200,210,250,1
135,168,218,1
175,176,132,2
160,165,228,1
44,94,147,1
142,174,227,1
58,108,160,1
162,199,255,1
198,209,253,1
121,168,220,1
94,87,37,2
122,164,211,1
16,14,3,2
148,149,107,2
16,14,3,2
142,133,83,2
173,189,231,1
128,130,184,1
42,94,154,1
203,201,171,2
56,112,161,1
50,107,152,1
44,105,173,1
169,189,237,1
45,41,40,2
145,165,230,1
43,90,144,1
146,148,96,2
54,96,141,1
183,179,138,2
140,139,81,2
144,185,248,1
42,89,150,1
115,156,218,1
0,180,0,2
129,168,220,1
72,72,32,2
59,62,23,2
61,65,24,2
169,176,239,1
85,195,243,2
169,183,235,1
113,150,212,1
175,189,237,1
24,24,18,2
85,89,48,2
78,81,32,2
150,190,255,1
165,165,117,2
253,255,255,2
131,171,223,1
162,166,131,2
194,205,249,1
56,56,56,2
80,85,130,1
155,154,96,2
164,184,241,1
122,155,224,1
158,174,220,1
199,197,162,2
180,177,132,2
178,175,130,2
58,54,29,2
79,80,30,2
144,143,85,2
98,75,59,2
199,198,160,2
135,170,220,1
53,52,18,2
106,148,225,1
146,144,90,2
152,191,253,1
56,97,146,1
236,199,161,2
139,138,82,2
181,180,130,2
92,141,221,1
174,172,124,2
44,48,43,2
183,181,133,2
69,70,28,2
181,178,133,2
87,101,153,1
177,174,129,2
183,180,135,2
50,49,15,2
87,85,44,2
151,169,232,1
111,150,212,1
80,89,127,1
169,185,231,1
204,213,255,1
43,46,21,2
126,165,217,1
128,131,85,2
73,76,30,2
123,126,76,2
51,53,17,2
43,99,146,1
153,191,255,1
183,180,136,2
2,0,179,2
200,198,163,2
199,197,162,2
121,160,212,1
197,196,158,2
70,68,28,2
126,163,219,1
180,178,137,2
117,116,58,2
163,165,113,2
77,85,125,1
126,125,67,2
195,196,154,2
180,177,132,2
202,200,165,2
172,171,121,2
180,178,137,2
179,176,132,2
126,166,218,1
138,165,229,1
63,81,134,1
11,12,8,2
23,73,61,2
178,175,131,2
138,143,98,2
64,96,149,1
173,187,240,1
142,140,82,2
24,26,14,2
180,?,134,2
60,102,147,1
168,166,118,2
122,144,209,1
55,56,22,2
35,34,8,2
22,23,13,2
164,178,230,1
173,172,122,2
146,187,250,1
177,176,126,2
118,155,215,1
181,177,136,2
111,153,206,1
149,186,248,1
164,163,113,2
85,113,184,1
180,177,132,2
63,77,136,1
52,103,165,1
20,19,0,2
152,190,254,1
126,152,199,1
166,177,234,1
172,170,122,2
120,122,176,1
102,140,204,1
121,124,179,1
93,140,214,1
180,177,132,2
168,183,229,1
169,168,140,2
149,191,250,1
57,103,157,1
55,56,22,2
133,136,97,2
201,160,68,2
171,172,132,2
90,89,39,2
51,108,153,1
175,170,115,2
138,137,81,2
152,190,254,1
61,61,21,2
111,91,73,2
54,66,38,2
187,186,142,2
175,193,240,1
119,154,218,1
53,56,24,2
91,125,191,1
0,1,2,2
67,67,67,2
115,154,209,1
203,209,254,1
64,133,202,1
131,162,215,1
114,116,170,1
182,179,135,2
164,163,113,2
176,174,126,2
45,99,159,1
77,80,31,2
25,51,33,2
35,34,8,2
121,161,213,1
54,48,237,2
167,163,114,2
103,149,226,1
152,162,222,1
156,190,236,1
70,127,189,1
153,190,252,1
174,190,236,1
80,82,40,2
174,169,124,2
194,207,253,1
125,129,87,2
148,186,255,1
197,195,160,2
158,162,127,2
102,138,208,1
152,190,254,1
172,171,121,2
2,0,1,2
79,88,126,1
243,244,248,2
83,122,197,1
0,0,255,2
0,126,0,2
113,140,191,1
14,6,183,2
107,147,212,1
78,115,189,1
36,37,181,2
206,211,214,2
76,115,190,1
180,180,134,2
169,167,119,2
137,178,227,1
121,153,212,1
125,156,225,1
170,168,120,2
75,107,172,1
65,83,146,1
186,181,136,2
156,180,232,1
178,175,131,2
105,143,208,1
97,101,152,1
99,96,41,2
128,128,128,2
134,132,78,2
149,192,255,1
179,176,131,2
34,88,148,1
164,180,226,1
152,193,255,1
177,176,126,2
52,109,171,1
146,193,247,1
199,198,160,2
130,137,192,1
179,176,132,2
163,162,112,2
117,146,221,1
95,93,39,2
179,176,132,2
128,170,217,1
50,107,152,1
116,151,219,1
159,161,119,2
186,184,136,2
124,126,180,1
172,182,105,2
132,167,223,1
62,125,183,1
2,1,0,2
54,54,18,2
137,149,155,2
184,180,139,2
177,176,132,2
51,116,184,1
174,190,243,1
201,200,162,2
89,25,20,2
137,136,98,2
126,166,219,1
230,200,225,2
55,61,20,2
166,181,230,1
175,173,125,2
78,117,195,1
77,109,185,1
60,113,170,1
171,169,121,2
129,131,185,1
107,148,203,1
192,192,152,2
54,58,23,2
7,19,151,2
70,76,121,1
62,128,193,1
181,181,135,2
168,184,227,1
18,15,1,2
138,139,89,2
117,152,220,1
109,110,60,2
165,164,114,2
102,104,52,2
54,80,216,2
127,157,216,1
164,178,231,1
171,171,125,2
173,173,127,2
2,0,188,2
113,150,212,1
84,53,214,2
163,183,238,1
169,183,235,1
179,177,129,2
59,111,171,1
69,106,186,1
9,7,6,2
6,3,5,2
54,55,21,2
105,130,186,1
105,92,106,2
184,185,143,2
166,181,230,1
171,181,121,2
160,163,124,2
181,181,135,2
97,146,224,1
157,161,120,2
199,197,163,2
199,197,162,2
95,173,90,2
147,148,104,2
112,164,230,1
154,187,232,1
124,129,84,2
151,154,105,2
132,138,203,1
154,156,110,2
17,15,0,2
143,170,227,1
164,163,113,2
54,55,21,2
178,175,131,2
172,168,120,2
201,199,164,2
95,186,241,2
149,149,101,2
47,108,164,1
199,197,162,2
66,121,178,1
113,121,180,1
92,138,216,1
199,197,162,2
74,83,126,1
98,153,226,1
165,186,247,1
35,34,8,2
53,58,19,2
49,103,156,1
106,144,202,1
133,138,147,2
164,170,135,2
51,105,166,1
185,182,137,2
197,216,255,1
201,212,255,1
11,11,0,2
160,163,124,2
172,186,239,1
174,173,123,2
170,168,120,2
195,195,155,2
172,186,235,1
143,180,232,1
182,184,142,2
183,182,138,2
0,0,0,2
157,194,255,1
51,103,156,1
179,176,132,2
94,123,198,1
156,159,120,2
192,190,156,2
174,172,124,2
189,189,153,2
142,145,96,2
58,116,175,1
0,90,245,2
197,195,160,2
141,165,231,1
68,108,161,1
138,173,223,1
173,172,122,2
0,134,104,2
205,204,170,2
108,154,225,1
82,90,130,1
145,181,227,1
153,191,255,1
93,142,222,1
144,142,88,2
43,97,152,1
148,166,229,1
223,223,223,2
54,55,21,2
146,147,97,2
131,149,178,1
172,169,124,2
54,55,21,2
122,132,109,2
70,85,124,1
33,82,60,2
165,179,232,1
0,100,249,2
3,0,177,2
131,134,95,2
234,217,77,2
55,56,24,2
117,148,217,1
60,61,21,2
48,96,144,1
205,204,170,2
32,33,7,2
163,163,117,2
163,177,229,1
165,161,113,2
238,200,165,2
142,175,238,1
229,160,97,2
106,107,45,2
45,86,58,2
122,123,73,2
52,106,166,1
0,0,1,2
171,171,125,2
49,101,147,1
224,211,203,2
123,126,181,1
139,177,231,1
172,187,236,1
167,163,114,2
59,106,157,1
235,216,81,2
124,161,219,1
0,1,0,2
178,176,128,2
62,61,11,2
181,178,134,2
91,31,19,2
67,107,160,1
193,193,153,2
117,154,222,1
127,158,227,1
88,96,143,1
69,70,26,2
65,67,21,2
51,92,141,1
181,178,134,2
182,178,137,2
3,1,1,2
168,165,120,2
90,136,214,1
93,142,220,1
10,172,254,2
166,180,233,1
78,117,195,1
113,157,210,1
171,170,119,2
169,164,163,2
8,8,8,2
55,56,24,2
169,183,236,1
141,142,200,1
173,187,240,1
153,170,221,1
159,160,128,2
162,166,124,2
127,158,227,1
102,141,193,1
47,89,134,1
202,198,157,2
158,172,224,1
180,175,130,2
157,190,235,1
106,142,202,1
131,162,231,1
163,180,237,1
141,175,229,1
173,91,166,2
159,159,105,2
102,149,223,1
125,158,214,1
153,156,107,2
145,143,89,2
79,84,129,1
96,142,219,1
194,193,155,2
176,178,132,2
120,184,142,2
53,57,22,2
167,181,234,1
162,165,120,2
179,177,129,2
140,134,97,2
181,182,138,2
91,132,194,1
146,145,89,2
181,180,136,2
15,13,2,2
203,209,255,1
157,154,103,2
55,96,145,1
51,55,19,2
6,4,3,2
53,57,22,2
199,195,160,2
168,182,235,1
89,118,187,1
39,93,153,1
145,146,96,2
123,154,223,1
188,186,145,2
51,53,17,2
49,91,136,1
156,193,255,1
162,176,225,1
110,151,206,1
53,94,143,1
158,195,255,1
106,106,58,2
47,114,183,1
146,186,251,1
169,183,235,1
201,200,162,2
167,183,230,1
65,67,25,2
159,164,132,2
145,188,251,1
138,139,89,2
113,135,170,1
92,136,219,1
113,153,212,1
0,2,180,2
106,140,163,1
109,116,173,1
